정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
가능포,43970,6,10,6,10,0,0
가림고등학교,42078,11034,12440,10964,12440,70,757
가야,42807,1235,5,1235,5,0,40
가야,42808,9,1391,9,1391,0,45
가오대입구,80033,112,414,108,414,4,16
가오대입구,80034,98,565,98,565,0,21
가원초등학교,42952,5555,4327,5548,4327,7,318
가원초등학교,89118,2447,4865,2442,4865,5,235
가재우물터,35678,19,10,19,10,0,0
가재우물터,35700,1,11,1,11,0,0
가재울사거리,42039,2333,5379,2327,5379,6,248
가재울사거리,42042,8540,4768,8529,4768,11,429
가재울역,42034,2639,3197,2633,3197,6,188
가재울역,42035,3206,2157,3190,2157,16,173
가정(루원시티)역,89050,6551,52006,6551,52006,0,1888
가정(루원시티)역,89051,67130,8670,67130,8670,0,2445
가정(루원시티)역,89075,72618,76871,72588,76871,30,4822
가정(루원시티)역,89078,79002,68210,78956,68210,46,4748
가정3동성당,42226,427,2953,425,2953,2,109
가정LH3단지정문앞,89041,18240,3945,18208,3945,32,715
가정고등학교,42200,9782,3988,9722,3988,60,444
가정고등학교,42203,2684,6580,2654,6580,30,298
가정교,89502,176,1455,175,1455,1,52
가정교,89503,1989,279,1986,279,3,73
가정교차로,89390,518,936,518,936,0,46
가정교차로,89391,335,2409,334,2409,1,88
가정동성당,89102,3013,3765,3009,3765,4,218
가정동성당,89105,2449,1604,2448,1604,1,130
가정보금자리,89119,1492,708,1492,708,0,70
가정보금자리,89120,121,1426,121,1426,0,49
가정여자중학교,42041,754,7749,736,7749,18,274
가정여중입구,89303,927,780,908,780,19,55
가정중앙시장역,42215,1058,1455,1057,1455,1,81
가정중앙시장역,42219,1101,1404,1088,1404,13,80
가정택지삼거리,89385,280,141,280,141,0,13
가정택지삼거리,89386,131,563,131,563,0,22
가정휴먼시아3단지,89186,1259,1494,1259,1494,0,88
가정휴먼시아3단지,89187,1480,1758,1480,1758,0,104
가좌2동행정복지센터,42073,5723,311,5685,311,38,194
가좌2동행정복지센터,42076,130,4767,109,4767,21,157
가좌3동행정복지센터,42075,11723,11697,11678,11697,45,755
가좌4동행정복지센터,42062,4538,6578,4524,6578,14,358
가좌고등학교,42060,12027,11023,11988,11023,39,743
가좌고등학교,42061,5176,7202,5159,7202,17,399
가좌공단,42526,22,10050,20,10050,2,324
가좌공단,42945,8007,281,7997,281,10,267
가좌교회,42055,2707,7246,2694,7246,13,321
가좌교회,42057,3264,2832,3250,2832,14,196
가좌녹지공원,42029,2000,4051,1996,4051,4,195
가좌녹지공원,42030,2188,1789,2187,1789,1,128
가좌농협,42066,8238,6295,8189,6295,49,468
가좌농협,42067,5726,6019,5701,6019,25,378
가좌동차고,42939,2221,304,2152,304,69,81
가좌동차고지,42522,134,1114,51,1114,83,40
가좌두산위브104동앞,42090,4254,3200,4246,3200,8,240
가좌사거리,42043,22,209,18,209,4,7
가좌사거리,42044,468,5054,463,5054,5,178
