정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
서해그랑블후문,40610,123,1013,123,1013,0,36
서해수산연구소,35007,131,3,125,3,6,4
서해수산연구소,35008,6,218,6,218,0,7
서해아파트,38164,2996,1622,2996,1622,0,148
서해아파트,38169,2289,2286,2289,2286,0,147
서해아파트,41181,1551,2341,1535,2341,16,125
서해아파트,41182,2852,1448,2838,1448,14,138
서해아파트,42354,4337,10102,4336,10102,1,465
서해아파트,42355,16902,4301,16897,4301,5,683
서홍의입구,43446,8,13,8,13,0,0
서홍의입구,43796,41,5,41,5,0,1
서화초등학교(도화e편한세상),37438,13948,7192,13914,7192,34,681
서화초등학교(도화e편한세상),37623,9282,10870,9261,10870,21,650
서흥초등학교,36071,7553,3203,7510,3203,43,346
서흥초등학교,36116,657,398,656,398,1,34
서흥초등학교,36117,210,2324,207,2324,3,81
석건연립,37051,2106,7212,2093,7212,13,300
석남고가교입구사거리,42655,22697,8788,22688,8788,9,1015
석남고가사거리,42145,20485,17630,20386,17630,99,1229
석남고가사거리,42151,28713,20678,28664,20678,49,1593
석남금호어울림아파트101동,42656,4573,9515,4573,9515,0,454
석남도서관,42182,977,2089,974,2089,3,98
석남동차고지,89156,665,4,665,4,0,21
석남서초등학교,42108,5608,3149,5605,3149,3,282
석남신사거리,42149,2165,1682,2139,1682,26,124
석남신사거리,42150,2131,2830,2116,2830,15,160
석남역(5번출구),42577,21867,43507,21849,43507,18,2108
석남중앙교회,42138,3105,1958,3092,1958,13,163
석남중학교,42126,7713,6003,7668,6003,45,442
석남중학교,42128,7053,7352,6951,7352,102,464
석남초등학교,42165,11020,3382,10906,3382,114,464
석남초등학교,42167,3334,8632,3319,8632,15,386
석락아파트,37241,10770,8827,10701,8827,69,632
석락아파트,37244,2069,3876,2055,3876,14,191
석모1리마을회관,90145,34,15,34,15,0,1
석모1리마을회관,90146,14,8,14,8,0,0
석모대교(석모리방향),90137,2,17,2,17,0,0
석모대교(석모리방향),90138,19,12,19,12,0,1
석모대교(석포리방향),90139,23,3,23,3,0,0
석모대교(석포리방향),90140,18,57,18,57,0,2
석모대교(외포리방향),90121,3,51,3,51,0,1
석모대교(외포리방향),90122,13,12,12,12,1,0
석모대교전망대,90249,3,9,3,9,0,0
석모대교전망대,90250,11,6,11,6,0,0
석모도미네랄온천,90163,86,60,86,60,0,4
석모도미네랄온천,90164,8,86,8,86,0,3
석모도수목원입구(삼산초등학교),90143,8,54,7,54,1,2
석모도수목원입구(삼산초등학교),90144,60,48,58,48,2,3
석모도자연휴양림입구,90151,0,4,0,4,0,0
석모도자연휴양림입구,90152,8,3,8,3,0,0
석바위,37365,22722,19312,22647,19312,75,1355
석바위,37370,53503,40920,53372,40920,131,3045
석바위시장,37378,2432,6377,2416,6377,16,284
석바위시장,37381,24196,24969,24138,24969,58,1585
석바위시장,37382,21556,19457,21503,19457,53,1323
석바위시장,37384,5130,3903,5110,3903,20,291
석바위시장,37544,2953,4362,2923,4362,30,235
석바위시장역,37373,4802,5539,4773,5539,29,333
석바위시장역,37374,4096,4653,4074,4653,22,282
석산,43375,2,22,2,22,0,0
석산,43833,21,0,21,0,0,0
석산로,92051,1049,505,1017,505,32,50
석산로,92052,494,562,481,562,13,34
석암초등학교,37412,3962,4216,3931,4216,31,263
석암초등학교앞,37407,14404,8658,14301,8658,103,743
석정여자고등학교,39416,1780,297,1756,297,24,67
석정여자고등학교,39418,114,2057,112,2057,2,70
석조여래입상앞,43663,0,22,0,22,0,0
석조여래입상앞,43692,32,1,29,1,3,1
석천사거리,39308,691,822,675,822,16,48
석천사거리역,39317,3999,7378,3993,7378,6,367
석천사거리역,39320,2870,3100,2859,3100,11,192
석천시장,39502,824,4394,814,4394,10,168
석포리마을회관,90191,26,3,25,3,1,0
석포리마을회관,90192,4,31,4,31,0,1
석포항,90203,18,26,16,26,2,1
선경그린빌라,42307,2292,1774,2279,1774,13,131
선경그린빌라,42541,71,784,71,784,0,27
선경아파트,40238,7507,1980,7507,1980,0,306
선광,38542,0,389,0,389,0,12
선광,38543,261,10,261,10,0,8
선녀바위유원지,35004,589,30,585,30,4,19
선녀바위유원지,35006,112,568,112,568,0,21
선녀바위해수욕장,35484,957,120,957,120,0,34
선녀바위해수욕장,35485,255,773,255,773,0,33
선동,43248,3,16,3,16,0,0
선동,43886,41,2,35,2,6,1
선두1리,43009,247,103,245,103,2,11
선두1리,43099,54,117,52,117,2,5
선두4리마을회관,43242,17,10,17,10,0,0
선두4리마을회관,43644,0,13,0,13,0,0
선두5리어판장입구,90131,10,22,10,22,0,1
선두5리어판장입구,90132,27,5,25,5,2,1
선릉역,23218,2359,8,2359,8,0,76
선릉역,23259,56,4052,56,4052,0,132
선린감리교회,40043,3488,2224,3480,2224,8,184
선린감리교회,40047,4335,5821,4318,5821,17,327
선바위역,66001,19784,693,19784,693,0,660
선바위역,66002,1308,35941,1308,35941,0,1201
선수,43433,7,15,6,15,1,0
선수,43483,28,11,27,11,1,1
선수여객선착장,43429,190,119,174,119,16,9
선수여객선착장,43479,15,42,15,42,0,1
선수촌사거리,39889,162,593,158,593,4,24
선수촌사거리,39890,365,308,358,308,7,21
선원면사무소앞,90067,0,24,0,24,0,0
선원면사무소앞,90068,5,10,5,10,0,0
선원면주민센터,43042,197,469,197,469,0,21
선원면주민센터,43070,451,155,442,155,9,19
선원사,43742,4,9,3,9,1,0
선원사초입,43307,14,8,12,8,2,0
선원사초입,43756,3,5,3,5,0,0
선원초등학교,43044,61,188,61,188,0,8
선원초등학교,43045,251,43,233,43,18,9
선유고등학교,28017,10110,723,10110,723,0,349
선유고등학교,28018,731,11336,731,11336,0,389
선재대교,44085,9,0,9,0,0,0
선재대교,44175,2,4,2,4,0,0
선재대교입구,44005,26,477,23,477,3,16
선재대교입구,44006,555,25,541,25,14,18
선주삼거리,41481,0,15,0,15,0,0
선주지다리,41480,9,39,9,39,0,1
선학동행정복지센터.정광아파트,38297,1323,1205,1321,1205,2,81
선학사거리,38295,1252,4115,1249,4115,3,173
선학아파트,38232,6231,1598,6228,1598,3,252
선학아파트,38343,3266,10067,3252,10067,14,430
선학어린이집,38300,2026,1940,1972,1940,54,127
선학역,38305,33805,15301,33753,15301,52,1584
선학역(1번출구),38306,19816,25787,19737,25787,79,1471
선학중학교,38283,856,932,834,932,22,57
선학체육관(하키경기장),38308,3212,2012,3192,2012,20,168
선학체육관(하키경기장),38309,2367,4559,2350,4559,17,223
선행리입구,43908,34,76,33,76,1,3
선행리입구,43909,35,1,34,1,1,1
설호아파트,43378,19,109,18,109,1,4
설호아파트,43618,96,85,94,85,2,5
성강지식산업센터,39837,595,648,595,648,0,40
성경,43603,106,13,104,13,2,3
성경,43771,22,126,22,126,0,4
성리중학교,39969,46,14,46,14,0,1
성리중학교,39979,0,218,0,218,0,7
성리초등학교,39200,20554,19768,20500,19768,54,1300
성리초등학교,39201,9558,16047,9533,16047,25,825
성문교회,39462,535,5,529,5,6,17
성문아파트,39591,4318,1548,4301,1548,17,189
성문아파트(문화연립),39257,2919,3898,2892,3898,27,219
성민병원,42159,15358,15047,15174,15047,184,980
성민병원,42162,14564,17101,14490,17101,74,1021
성보공업,42007,1837,2249,1830,2249,7,131
성산교회,40572,1627,8082,1608,8082,19,313
성신아크릴산업,89313,152,2,146,2,6,4
성신아크릴산업,89327,12,152,12,152,0,5
성웅아파트,42048,3717,2513,3701,2513,16,200
성웅아파트,42051,3835,2659,3827,2659,8,209
성원기계,92016,1502,1809,1500,1809,2,106
성원빌딩.우편취급국,37425,11309,6186,11296,6186,13,564
성원아파트,70022,2600,12,2596,12,4,84
성일산업,39787,1067,1481,1062,1481,5,82
성일산업,39788,1117,799,1117,799,0,61
성일아파트후문앞,40311,884,542,884,542,0,46
성지아파트,38017,23915,38412,23901,38412,14,2010
성지아파트,41025,5528,3759,5528,3759,0,299
성지초등학교,41033,2231,3860,2195,3860,36,196
성지초등학교,41034,2770,1866,2744,1866,26,149
성터지,43038,222,96,222,96,0,10
성터지,43039,95,174,95,174,0,8
성호아파트,38204,11218,10860,11186,10860,32,712
세광2차아파트,43758,1959,549,1905,549,54,80
세광2차아파트,43857,320,1383,314,1383,6,54
세광아파트,43049,1014,2090,1009,2090,5,100
세광아파트,43050,2581,756,2559,756,22,107
세농푸드,41510,28,1,28,1,0,0
세우산업,39094,1928,4190,1927,4190,1,197
세월천사거리,40489,4769,13217,4743,13217,26,580
세일빌라.인천산림조합,39158,2647,1198,2637,1198,10,124
세일빌라.인천산림조합,39159,4834,3706,4828,3706,6,275
세현정공,39033,868,1848,868,1848,0,87
세화파렛텍,90216,44,38,44,38,0,2
센타빌딩,39902,11563,13077,11559,13077,4,794
센트럴공원,38490,903,3222,902,3222,1,133
센트럴자이,39884,4014,2351,4013,2351,1,205
센트럴파크1,38463,514,175,514,175,0,22
센트럴파크2,38464,218,312,218,312,0,17
센트럴파크역,38397,8551,1098,8551,1098,0,311
센트럴파크역,38574,992,2521,991,2521,1,113
센트럴파크푸르지오아파트,38544,1877,1243,1872,1243,5,100
센트럴파크푸르지오아파트,38545,957,1871,955,1871,2,91
센트럴푸르지오501동앞,92071,1428,413,1427,413,1,59
