"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240208","1호선","1호선","44470","27171","351","367","0","14010","2403","131","0","37"
"20240208","1호선","2호선","19491","15213","227","328","0","3164","514","26","0","19"
"20240208","1호선","3호선","15393","10835","170","218","0","3600","539","28","0","3"
"20240208","1호선","4호선","22404","16558","356","339","0","4394","709","41","0","7"
"20240208","1호선","5호선","8150","5963","85","117","0","1703","264","17","0","1"
"20240208","1호선","6호선","10847","6936","101","146","0","3174","456","27","0","7"
"20240208","1호선","7호선","6462","4444","41","50","0","1641","261","22","0","3"
"20240208","1호선","7호선(인천)","1753","1490","18","21","0","178","43","3","0","0"
"20240208","1호선","8호선","778","559","4","5","0","170","36","4","0","0"
"20240208","1호선","9호선","6455","5020","38","60","0","1098","224","11","0","4"
"20240208","1호선","9호선(연장)","719","581","14","8","0","99","14","3","0","0"
"20240208","1호선","경강선","181","117","5","9","0","41","9","0","0","0"
"20240208","1호선","경부선","29494","23918","257","359","0","4084","804","72","0","0"
"20240208","1호선","경원선","27028","18159","222","334","0","7099","1141","73","0","0"
"20240208","1호선","경의중앙선","1098","722","11","8","0","312","44","1","0","0"
"20240208","1호선","경인선","16830","13531","142","213","0","2454","451","39","0","0"
"20240208","1호선","경춘선","1606","1044","14","18","0","458","69","3","0","0"
"20240208","1호선","공항철도1호선","2751","2466","39","39","0","168","37","2","0","0"
"20240208","1호선","과천선","2818","2402","41","23","0","300","45","7","0","0"
"20240208","1호선","김포골드라인","666","522","6","9","0","115","11","3","0","0"
"20240208","1호선","분당선","1677","1145","19","25","0","415","66","7","0","0"
"20240208","1호선","서해선","1136","900","20","10","0","172","32","2","0","0"
"20240208","1호선","수인선","262","153","1","4","0","86","14","4","0","0"
"20240208","1호선","신림선","1902","1447","13","20","0","351","64","6","0","1"
"20240208","1호선","신분당선","389","253","1","0","0","119","12","4","0","0"
"20240208","1호선","신분당선(연장)","624","380","3","6","0","209","24","2","0","0"
"20240208","1호선","신분당선(연장2)","118","69","2","4","0","41","2","0","0","0"
"20240208","1호선","안산선","1856","1412","22","23","0","333","61","5","0","0"
"20240208","1호선","에버라인선","32","6","0","2","0","21","3","0","0","0"
"20240208","1호선","우이신설선","4221","2532","32","40","0","1427","186","4","0","0"
"20240208","1호선","의정부선","782","692","6","10","0","58","14","2","0","0"
"20240208","1호선","인천1호선","2007","1673","18","29","0","239","46","0","0","2"
"20240208","1호선","인천2호선","1233","980","7","17","0","198","29","2","0","0"
"20240208","1호선","일산선","3645","2568","30","41","0","884","112","10","0","0"
"20240208","1호선","장항선","170","117","2","7","0","37","7","0","0","0"
"20240208","1호선","중앙선","7701","5162","80","92","0","2023","333","11","0","0"
"20240208","1호선","진접선","816","604","23","23","0","150","13","3","0","0"
"20240208","2호선","1호선","21878","17538","240","270","0","3270","510","31","0","19"
"20240208","2호선","2호선","741269","636502","10158","17281","0","63408","12511","734","0","674"
"20240208","2호선","3호선","73110","63411","800","1484","0","6254","1053","65","0","43"
"20240208","2호선","4호선","65568","55977","846","1376","0","6027","1241","82","0","19"
"20240208","2호선","5호선","75353","62971","940","1509","0","8089","1676","96","0","72"
"20240208","2호선","6호선","42904","36361","518","842","0","4228","898","39","0","18"
"20240208","2호선","7호선","62563","52004","804","1347","0","6835","1427","74","0","72"
"20240208","2호선","7호선(인천)","9210","8182","137","211","0","528","141","6","0","5"
"20240208","2호선","8호선","30746","26546","342","538","0","2741","535","29","0","15"
"20240208","2호선","9호선","30225","25833","356","585","0","2780","619","28","0","24"
"20240208","2호선","9호선(연장)","9144","7500","90","167","0","1148","179","58","0","2"
"20240208","2호선","경강선","2475","2011","50","111","0","248","53","2","0","0"
"20240208","2호선","경부선","38304","31952","502","831","0","4107","873","39","0","0"
"20240208","2호선","경원선","16666","13703","237","432","0","1851","425","18","0","0"
"20240208","2호선","경의중앙선","10623","8988","230","347","0","892","158","8","0","0"
"20240208","2호선","경인선","35097","29333","460","769","0","3678","797","60","0","0"
"20240208","2호선","경춘선","2042","1562","35","85","0","306","50","4","0","0"
"20240208","2호선","공항철도1호선","11747","10529","263","390","0","432","128","5","0","0"
"20240208","2호선","과천선","14499","12483","151","294","0","1332","219","20","0","0"
"20240208","2호선","김포골드라인","2633","2078","64","98","0","346","45","2","0","0"
"20240208","2호선","분당선","40017","33920","566","1045","0","3843","592","51","0","0"
"20240208","2호선","서해선","2705","2219","40","96","0","292","56","2","0","0"
"20240208","2호선","수인선","724","558","13","29","0","99","24","1","0","0"
"20240208","2호선","신림선","10425","7536","136","246","0","2120","363","15","0","9"
"20240208","2호선","신분당선","10461","8954","98","162","0","1042","190","15","0","0"
"20240208","2호선","신분당선(연장)","10155","8709","137","261","0","923","112","13","0","0"
"20240208","2호선","신분당선(연장2)","2307","1974","17","39","0","229","48","0","0","0"
"20240208","2호선","안산선","9189","7922","165","241","0","711","146","4","0","0"
"20240208","2호선","에버라인선","378","259","6","8","0","87","17","1","0","0"
"20240208","2호선","우이신설선","4353","3554","47","98","0","541","109","4","0","0"
