"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240209","1호선","1호선","27026","16620","523","394","0","7921","1455","91","0","22"
"20240209","1호선","2호선","9860","7423","236","221","0","1657","293","20","0","10"
"20240209","1호선","3호선","8203","5577","212","166","0","1923","303","22","0","0"
"20240209","1호선","4호선","13643","10358","504","261","0","2136","359","20","0","5"
"20240209","1호선","5호선","3891","2594","126","63","0","941","152","13","0","2"
"20240209","1호선","6호선","5464","3310","113","88","0","1679","255","16","0","3"
"20240209","1호선","7호선","2560","1540","68","37","0","778","126","9","0","2"
"20240209","1호선","7호선(인천)","681","525","32","16","0","87","18","3","0","0"
"20240209","1호선","8호선","366","239","8","6","0","97","12","2","0","2"
"20240209","1호선","9호선","2712","1899","53","44","0","590","115","11","0","0"
"20240209","1호선","9호선(연장)","378","289","17","6","0","61","4","1","0","0"
"20240209","1호선","경강선","184","136","4","9","0","30","5","0","0","0"
"20240209","1호선","경부선","14753","11002","340","307","0","2496","558","50","0","0"
"20240209","1호선","경원선","12952","8101","266","236","0","3648","650","51","0","0"
"20240209","1호선","경의중앙선","801","505","23","21","0","225","26","1","0","0"
"20240209","1호선","경인선","7410","5319","163","149","0","1472","286","21","0","0"
"20240209","1호선","경춘선","694","420","4","13","0","230","25","2","0","0"
"20240209","1호선","공항철도1호선","1349","1146","33","33","0","115","20","2","0","0"
"20240209","1호선","과천선","874","635","29","14","0","161","33","2","0","0"
"20240209","1호선","김포골드라인","348","253","8","10","0","67","9","1","0","0"
"20240209","1호선","분당선","697","418","12","10","0","225","26","6","0","0"
"20240209","1호선","서해선","533","351","13","9","0","129","29","2","0","0"
"20240209","1호선","수인선","195","125","5","5","0","50","9","1","0","0"
"20240209","1호선","신림선","660","452","11","4","0","168","24","1","0","0"
"20240209","1호선","신분당선","131","69","0","3","0","50","8","1","0","0"
"20240209","1호선","신분당선(연장)","206","98","4","2","0","91","9","2","0","0"
"20240209","1호선","신분당선(연장2)","36","15","0","0","0","18","3","0","0","0"
"20240209","1호선","안산선","1316","1009","21","23","0","224","36","3","0","0"
"20240209","1호선","에버라인선","32","20","0","0","0","9","3","0","0","0"
"20240209","1호선","우이신설선","1818","912","34","28","0","747","90","7","0","0"
"20240209","1호선","의정부선","381","308","11","10","0","45","6","1","0","0"
"20240209","1호선","인천1호선","897","658","19","22","0","162","32","3","0","1"
"20240209","1호선","인천2호선","541","349","9","17","0","140","26","0","0","0"
"20240209","1호선","일산선","1578","1005","37","40","0","427","59","10","0","0"
"20240209","1호선","장항선","214","148","5","7","0","46","8","0","0","0"
"20240209","1호선","중앙선","3280","1960","77","63","0","1040","135","5","0","0"
"20240209","1호선","진접선","501","347","21","17","0","93","20","3","0","0"
"20240209","2호선","1호선","12086","9500","314","211","0","1709","327","18","0","7"
"20240209","2호선","2호선","275819","229619","8171","9642","0","23040","4760","267","0","319"
"20240209","2호선","3호선","33053","28667","775","875","0","2291","404","24","0","17"
"20240209","2호선","4호선","27915","23547","810","864","0","2234","419","28","0","13"
"20240209","2호선","5호선","24193","19086","740","825","0","2943","543","23","0","33"
"20240209","2호선","6호선","17086","14264","472","532","0","1470","324","14","0","10"
"20240209","2호선","7호선","22544","18349","612","740","0","2321","458","21","0","43"
"20240209","2호선","7호선(인천)","3310","2854","83","130","0","185","51","2","0","5"
"20240209","2호선","8호선","8903","7113","276","306","0","1019","167","14","0","8"
"20240209","2호선","9호선","11476","9470","298","366","0","1080","235","15","0","12"
"20240209","2호선","9호선(연장)","2835","2251","89","90","0","357","43","5","0","0"
"20240209","2호선","경강선","1973","1641","62","83","0","141","43","3","0","0"
