"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240213","1호선","1호선","40902","25200","450","453","0","12599","1999","159","0","42"
"20240213","1호선","2호선","20225","16067","296","393","0","2884","535","30","0","20"
"20240213","1호선","3호선","14418","10081","137","195","0","3449","520","32","0","4"
"20240213","1호선","4호선","22288","16834","419","423","0","3940","628","34","0","10"
"20240213","1호선","5호선","8299","6096","101","112","0","1686","285","17","0","2"
"20240213","1호선","6호선","10740","7267","111","172","0","2765","400","19","0","6"
"20240213","1호선","7호선","6503","4578","37","81","0","1539","246","21","0","1"
"20240213","1호선","7호선(인천)","1796","1501","16","32","0","206","38","3","0","0"
"20240213","1호선","8호선","773","565","2","12","0","156","35","2","0","1"
"20240213","1호선","9호선","6652","5256","62","84","0","1022","208","16","0","4"
"20240213","1호선","9호선(연장)","835","682","17","16","0","104","12","3","0","1"
"20240213","1호선","경강선","170","95","0","5","0","64","4","2","0","0"
"20240213","1호선","경부선","27558","21932","228","332","0","4221","780","65","0","0"
"20240213","1호선","경원선","25404","17418","196","348","0","6306","1052","84","0","0"
"20240213","1호선","경의중앙선","1088","666","14","14","0","344","46","4","0","0"
"20240213","1호선","경인선","17462","13943","144","202","0","2671","469","33","0","0"
"20240213","1호선","경춘선","1547","997","5","11","0","466","66","2","0","0"
"20240213","1호선","공항철도1호선","2729","2387","46","46","0","209","37","4","0","0"
"20240213","1호선","과천선","2890","2473","31","24","0","310","49","3","0","0"
"20240213","1호선","김포골드라인","634","485","3","4","0","127","14","1","0","0"
"20240213","1호선","분당선","1562","1070","16","24","0","398","50","4","0","0"
"20240213","1호선","서해선","1166","884","14","17","0","205","42","4","0","0"
"20240213","1호선","수인선","275","172","6","7","0","77","11","2","0","0"
"20240213","1호선","신림선","2106","1685","8","27","0","322","63","0","0","1"
"20240213","1호선","신분당선","360","237","2","5","0","99","12","5","0","0"
"20240213","1호선","신분당선(연장)","556","329","4","1","0","203","13","6","0","0"
"20240213","1호선","신분당선(연장2)","126","82","0","3","0","37","4","0","0","0"
"20240213","1호선","안산선","1770","1331","26","45","0","308","53","7","0","0"
"20240213","1호선","에버라인선","24","5","0","2","0","16","1","0","0","0"
"20240213","1호선","우이신설선","3958","2554","28","56","0","1156","157","6","0","1"
"20240213","1호선","의정부선","839","749","13","16","0","49","12","0","0","0"
"20240213","1호선","인천1호선","1920","1532","20","23","0","292","51","2","0","0"
"20240213","1호선","인천2호선","1216","917","10","24","0","223","36","5","0","1"
"20240213","1호선","일산선","3511","2478","17","31","0","879","92","14","0","0"
"20240213","1호선","장항선","109","56","1","3","0","41","8","0","0","0"
"20240213","1호선","중앙선","7769","5348","48","122","0","1943","297","11","0","0"
"20240213","1호선","진접선","714","495","19","20","0","161","17","2","0","0"
"20240213","2호선","1호선","17625","13604","245","317","0","2879","531","30","0","19"
"20240213","2호선","2호선","740588","630104","10842","19267","0","66381","12597","800","0","597"
"20240213","2호선","3호선","63939","53571","839","1464","0","6904","1063","64","0","34"
"20240213","2호선","4호선","63921","53791","896","1494","0","6400","1223","88","0","29"
"20240213","2호선","5호선","77694","64263","976","1664","0","8955","1686","91","0","59"
"20240213","2호선","6호선","43824","36907","513","956","0","4485","911","40","0","12"
"20240213","2호선","7호선","63129","51888","813","1424","0","7433","1436","80","0","55"
"20240213","2호선","7호선(인천)","8898","7806","138","219","0","587","133","9","0","6"
