"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240211","1호선","1호선","26849","17324","600","452","0","6921","1461","74","0","17"
"20240211","1호선","2호선","13009","10555","365","264","0","1505","284","22","0","14"
"20240211","1호선","3호선","9028","6452","256","174","0","1820","297","28","0","1"
"20240211","1호선","4호선","15087","11724","629","341","0","1983","398","10","0","2"
"20240211","1호선","5호선","5595","4175","172","86","0","953","192","17","0","0"
"20240211","1호선","6호선","5703","3878","149","109","0","1336","224","7","0","0"
"20240211","1호선","7호선","3059","1892","93","56","0","879","133","6","0","0"
"20240211","1호선","7호선(인천)","882","635","34","15","0","168","28","2","0","0"
"20240211","1호선","8호선","484","321","15","7","0","124","15","2","0","0"
"20240211","1호선","9호선","3395","2563","85","42","1","545","142","16","0","1"
"20240211","1호선","9호선(연장)","566","475","13","9","0","61","7","1","0","0"
"20240211","1호선","경강선","205","167","5","3","0","27","3","0","0","0"
"20240211","1호선","경부선","17433","13219","471","376","0","2818","504","45","0","0"
"20240211","1호선","경원선","12927","8114","340","259","0","3545","633","36","0","0"
"20240211","1호선","경의중앙선","1022","678","32","27","0","249","33","3","0","0"
"20240211","1호선","경인선","8547","5850","295","181","0","1884","309","28","0","0"
"20240211","1호선","경춘선","707","364","18","19","0","267","39","0","0","0"
"20240211","1호선","공항철도1호선","1566","1323","54","26","0","135","28","0","0","0"
"20240211","1호선","과천선","1092","779","47","26","0","206","32","2","0","0"
"20240211","1호선","김포골드라인","524","401","16","10","0","83","14","0","0","0"
"20240211","1호선","분당선","848","507","28","31","0","247","32","3","0","0"
"20240211","1호선","서해선","585","363","28","13","0","145","35","1","0","0"
"20240211","1호선","수인선","263","170","4","8","0","70","10","1","0","0"
"20240211","1호선","신림선","1017","758","17","11","0","201","28","2","0","0"
"20240211","1호선","신분당선","181","117","2","3","0","54","4","1","0","0"
"20240211","1호선","신분당선(연장)","275","143","9","6","0","106","9","2","0","0"
"20240211","1호선","신분당선(연장2)","84","56","0","0","0","26","1","1","0","0"
"20240211","1호선","안산선","1591","1211","27","31","0","271","50","1","0","0"
"20240211","1호선","에버라인선","36","23","0","1","0","9","3","0","0","0"
"20240211","1호선","우이신설선","1799","996","31","24","0","649","93","6","0","0"
"20240211","1호선","의정부선","354","276","17","5","0","43","12","1","0","0"
"20240211","1호선","인천1호선","1056","752","30","34","0","211","27","2","0","0"
"20240211","1호선","인천2호선","769","504","24","24","0","187","29","1","0","0"
"20240211","1호선","일산선","1891","1212","54","27","0","523","65","10","0","0"
"20240211","1호선","장항선","146","90","6","12","0","33","5","0","0","0"
"20240211","1호선","중앙선","3651","2255","98","75","0","1018","192","13","0","0"
"20240211","1호선","진접선","512","348","27","22","0","97","17","1","0","0"
"20240211","2호선","1호선","9884","7437","313","236","0","1580","288","22","0","8"
"20240211","2호선","2호선","311712","256377","11060","11764","0","26800","5149","276","0","286"
"20240211","2호선","3호선","28103","22723","889","876","0","3099","469","28","0","19"
"20240211","2호선","4호선","30020","24730","1083","1002","0","2678","490","25","0","12"
"20240211","2호선","5호선","28509","22012","1112","947","0","3712","683","20","0","23"
