"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240212","1호선","1호선","27102","14648","680","416","0","9590","1633","111","0","24"
"20240212","1호선","2호선","13879","10740","375","312","0","2032","377","28","0","15"
"20240212","1호선","3호선","9280","6207","229","196","1","2262","346","35","0","4"
"20240212","1호선","4호선","14639","10790","543","355","0","2502","419","25","0","5"
"20240212","1호선","5호선","6024","4270","168","86","0","1297","185","16","0","2"
"20240212","1호선","6호선","6361","3881","133","122","0","1930","282","11","0","2"
"20240212","1호선","7호선","3513","2062","60","49","0","1144","183","12","0","3"
"20240212","1호선","7호선(인천)","874","577","49","19","0","200","29","0","0","0"
"20240212","1호선","8호선","567","367","9","11","0","148","26","6","0","0"
"20240212","1호선","9호선","3942","2875","93","57","0","730","173","14","0","0"
"20240212","1호선","9호선(연장)","732","587","22","12","0","98","13","0","0","0"
"20240212","1호선","경강선","130","79","5","7","0","35","3","1","0","0"
"20240212","1호선","경부선","16794","11948","413","378","0","3417","591","47","0","0"
"20240212","1호선","경원선","14026","8042","331","288","0","4592","718","55","0","0"
"20240212","1호선","경의중앙선","991","538","35","26","0","350","37","5","0","0"
"20240212","1호선","경인선","8913","5734","286","196","0","2274","392","31","0","0"
"20240212","1호선","경춘선","774","355","27","16","0","328","47","1","0","0"
"20240212","1호선","공항철도1호선","1919","1621","70","48","0","156","20","4","0","0"
"20240212","1호선","과천선","1301","924","65","23","0","258","30","1","0","0"
"20240212","1호선","김포골드라인","317","172","16","9","0","106","12","2","0","0"
"20240212","1호선","분당선","874","471","18","21","0","322","38","4","0","0"
"20240212","1호선","서해선","603","362","19","19","0","167","34","2","0","0"
"20240212","1호선","수인선","245","138","1","8","0","75","21","2","0","0"
"20240212","1호선","신림선","1189","841","18","22","0","267","40","1","0","0"
"20240212","1호선","신분당선","235","140","3","5","0","82","5","0","0","0"
"20240212","1호선","신분당선(연장)","330","159","5","6","0","146","11","3","0","0"
"20240212","1호선","신분당선(연장2)","64","36","0","1","0","24","2","1","0","0"
"20240212","1호선","안산선","1263","820","36","35","0","322","46","4","0","0"
"20240212","1호선","에버라인선","32","11","0","3","0","16","1","1","0","0"
"20240212","1호선","우이신설선","2142","1030","40","32","0","922","115","3","0","0"
"20240212","1호선","의정부선","323","243","13","9","0","47","10","1","0","0"
"20240212","1호선","인천1호선","982","616","25","24","0","285","32","0","0","0"
"20240212","1호선","인천2호선","679","394","17","13","0","227","28","0","0","0"
"20240212","1호선","일산선","2091","1255","43","49","0","650","78","16","0","0"
"20240212","1호선","장항선","138","80","5","8","0","41","4","0","0","0"
"20240212","1호선","중앙선","4061","2444","74","66","0","1282","186","9","0","0"
"20240212","1호선","진접선","521","334","36","15","0","115","18","3","0","0"
"20240212","2호선","1호선","10646","7587","301","253","0","2139","328","20","0","18"
"20240212","2호선","2호선","347268","281327","12786","15424","0","31214","5799","334","0","384"
"20240212","2호선","3호선","31659","25479","956","1102","0","3579","479","32","0","32"
"20240212","2호선","4호선","31731","25758","1039","1255","0","3083","547","31","0","18"
"20240212","2호선","5호선","31592","24025","1238","1306","0","4242","712","27","0","42"
"20240212","2호선","6호선","19934","15939","594","798","0","2175","407","15","0","6"
"20240212","2호선","7호선","27814","21453","945","1297","0","3402","637","34","0","46"
"20240212","2호선","7호선(인천)","3673","2865","200","210","0","327","70","1","0","0"
"20240212","2호선","8호선","11997","9356","440","475","0","1490","218","7","0","11"
"20240212","2호선","9호선","13527","10778","423","493","0","1514","289","21","0","9"
"20240212","2호선","9호선(연장)","3699","2907","78","117","0","531","59","7","0","0"
"20240212","2호선","경강선","1417","993","101","115","0","175","33","0","0","0"
"20240212","2호선","경부선","22046","17138","706","904","0","2719","555","24","0","0"
"20240212","2호선","경원선","8633","6507","325","446","0","1126","214","15","0","0"
"20240212","2호선","경의중앙선","5605","3990","422","472","0","624","91","6","0","0"
"20240212","2호선","경인선","16593","12520","693","804","0","2161","393","22","0","0"
"20240212","2호선","경춘선","951","626","63","76","0","164","21","1","0","0"
"20240212","2호선","공항철도1호선","7687","6364","448","510","0","301","63","1","0","0"
"20240212","2호선","과천선","5757","4193","222","258","0","956","120","8","0","0"
"20240212","2호선","김포골드라인","1278","853","109","99","0","189","27","1","0","0"
"20240212","2호선","분당선","15553","11879","572","796","0","2025","260","21","0","0"
"20240212","2호선","서해선","1401","1004","89","83","0","182","41","2","0","0"
"20240212","2호선","수인선","567","345","45","53","0","107","17","0","0","0"
"20240212","2호선","신림선","5243","3550","117","150","0","1219","195","10","0","2"
"20240212","2호선","신분당선","3461","2552","108","120","0","602","70","9","0","0"
"20240212","2호선","신분당선(연장)","3901","2794","207","253","0","593","48","6","0","0"
"20240212","2호선","신분당선(연장2)","973","813","28","27","0","87","17","1","0","0"
"20240212","2호선","안산선","4809","3669","248","284","0","503","100","5","0","0"
"20240212","2호선","에버라인선","174","87","15","10","0","57","5","0","0","0"
"20240212","2호선","우이신설선","2055","1462","39","72","0","405","71","5","0","1"
"20240212","2호선","의정부선","318","219","34","44","0","15","5","1","0","0"
"20240212","2호선","인천1호선","2762","2065","142","219","0","280","49","1","0","6"
"20240212","2호선","인천2호선","1783","1260","137","148","0","195","39","2","0","2"
"20240212","2호선","일산선","3138","2281","182","212","0","404","57","2","0","0"
"20240212","2호선","장항선","238","131","12","14","0","73","8","0","0","0"
"20240212","2호선","중앙선","4676","3554","183","276","0","572","86","5","0","0"
"20240212","2호선","진접선","726","469","69","82","0","84","19","3","0","0"
"20240212","3호선","1호선","8447","5375","207","165","0","2317","345","35","0","3"
"20240212","3호선","2호선","38340","31864","990","1267","0","3652","509","37","0","21"
"20240212","3호선","3호선","99184","69840","3982","3699","0","19124","2371","141","0","27"
"20240212","3호선","4호선","20349","16156","668","563","1","2578","362","18","0","3"
"20240212","3호선","5호선","15213","11527","447","386","0","2491","328","29","0","5"
"20240212","3호선","6호선","15375","11343","436","520","0","2656","394","24","0","2"
