"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240205","1호선","1호선","43116","27803","335","429","0","12384","2006","120","0","39"
"20240205","1호선","2호선","21147","17058","195","329","0","2966","533","38","0","28"
"20240205","1호선","3호선","15432","11197","125","194","0","3404","469","37","0","6"
"20240205","1호선","4호선","23052","17437","306","366","0","4255","656","29","0","3"
"20240205","1호선","5호선","8746","6546","71","105","0","1760","248","15","0","1"
"20240205","1호선","6호선","11020","7357","80","143","0","2954","461","20","0","5"
"20240205","1호선","7호선","6842","4902","34","58","0","1605","223","16","0","4"
"20240205","1호선","7호선(인천)","1849","1574","9","18","0","209","37","2","0","0"
"20240205","1호선","8호선","860","612","6","5","0","199","33","3","0","2"
"20240205","1호선","9호선","7052","5754","25","87","0","987","185","11","0","3"
"20240205","1호선","9호선(연장)","827","689","7","10","0","98","14","9","0","0"
"20240205","1호선","경강선","147","77","5","2","0","60","3","0","0","0"
"20240205","1호선","경부선","27969","22920","167","356","0","3806","659","61","0","0"
"20240205","1호선","경원선","25582","17470","126","305","0","6581","1014","86","0","0"
"20240205","1호선","경의중앙선","977","642","3","10","0","287","32","3","0","0"
"20240205","1호선","경인선","17031","13998","87","177","0","2338","396","35","0","0"
"20240205","1호선","경춘선","1567","1053","7","16","0","418","70","3","0","0"
"20240205","1호선","공항철도1호선","3010","2717","37","48","0","173","33","2","0","0"
"20240205","1호선","과천선","3075","2673","18","25","0","306","50","3","0","0"
"20240205","1호선","김포골드라인","649","503","4","7","0","122","12","1","0","0"
"20240205","1호선","분당선","1759","1258","19","22","0","412","44","4","0","0"
"20240205","1호선","서해선","1124","903","8","11","0","169","30","3","0","0"
"20240205","1호선","수인선","236","143","1","7","0","69","15","1","0","0"
"20240205","1호선","신림선","2158","1763","8","24","0","303","57","2","0","1"
"20240205","1호선","신분당선","470","345","5","3","0","103","13","1","0","0"
"20240205","1호선","신분당선(연장)","603","418","2","6","0","162","12","3","0","0"
"20240205","1호선","신분당선(연장2)","133","85","0","1","0","44","3","0","0","0"
"20240205","1호선","안산선","1683","1281","15","30","0","294","58","5","0","0"
"20240205","1호선","에버라인선","34","14","0","0","0","19","1","0","0","0"
"20240205","1호선","우이신설선","4332","2785","28","65","0","1272","175","6","0","1"
"20240205","1호선","의정부선","885","804","5","17","0","51","8","0","0","0"
"20240205","1호선","인천1호선","1916","1585","11","21","0","254","42","3","0","0"
"20240205","1호선","인천2호선","1154","928","3","9","0","188","26","0","0","0"
"20240205","1호선","일산선","3818","2784","16","33","0","877","95","13","0","0"
"20240205","1호선","장항선","104","48","2","3","0","44","7","0","0","0"
"20240205","1호선","중앙선","7829","5453","36","114","0","1941","277","8","0","0"
"20240205","1호선","진접선","748","545","15","21","0","142","21","4","0","0"
"20240205","2호선","1호선","20002","15866","208","311","0","3055","502","36","0","24"
