"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240215","1호선","1호선","43188","29764","440","483","0","10580","1741","144","0","36"
"20240215","1호선","2호선","22265","18248","290","461","0","2710","503","36","0","17"
"20240215","1호선","3호선","15697","11665","137","202","0","3208","448","30","0","7"
"20240215","1호선","4호선","24412","19061","432","391","0","3839","642","41","0","6"
"20240215","1호선","5호선","9029","6979","91","121","0","1585","230","19","0","4"
"20240215","1호선","6호선","10708","7651","99","172","0","2391","365","25","0","5"
"20240215","1호선","7호선","6774","5000","44","79","0","1428","193","26","0","4"
"20240215","1호선","7호선(인천)","1907","1644","9","31","0","183","38","2","0","0"
"20240215","1호선","8호선","879","657","5","7","0","176","31","1","0","2"
"20240215","1호선","9호선","7010","5851","41","66","0","861","166","22","0","3"
"20240215","1호선","9호선(연장)","1025","886","12","16","0","95","11","5","0","0"
"20240215","1호선","경강선","154","102","2","5","0","36","8","1","0","0"
"20240215","1호선","경부선","28871","24082","196","352","0","3522","665","54","0","0"
"20240215","1호선","경원선","24627","17774","159","350","0","5423","860","61","0","0"
"20240215","1호선","경의중앙선","1046","693","10","14","0","291","36","2","0","0"
"20240215","1호선","경인선","17445","14545","96","205","0","2194","373","32","0","0"
"20240215","1호선","경춘선","1448","988","8","22","0","374","53","3","0","0"
"20240215","1호선","공항철도1호선","3179","2859","45","55","0","180","37","3","0","0"
"20240215","1호선","과천선","3158","2771","24","37","0","275","46","5","0","0"
"20240215","1호선","김포골드라인","644","493","3","12","0","119","16","1","0","0"
"20240215","1호선","분당선","1684","1197","12","29","0","390","46","10","0","0"
"20240215","1호선","서해선","1183","947","7","11","0","188","26","4","0","0"
"20240215","1호선","수인선","269","177","4","5","0","72","10","1","0","0"
"20240215","1호선","신림선","2180","1804","6","26","0","292","49","2","0","1"
"20240215","1호선","신분당선","486","327","5","5","0","137","12","0","0","0"
"20240215","1호선","신분당선(연장)","612","406","1","3","0","187","13","2","0","0"
"20240215","1호선","신분당선(연장2)","109","70","1","2","0","33","2","1","0","0"
"20240215","1호선","안산선","1708","1323","17","26","0","288","49","5","0","0"
"20240215","1호선","에버라인선","25","6","0","0","0","18","1","0","0","0"
"20240215","1호선","우이신설선","4035","2756","34","51","0","1043","142","8","0","1"
"20240215","1호선","의정부선","871","783","5","13","0","54","15","1","0","0"
"20240215","1호선","인천1호선","2023","1690","10","30","0","248","43","2","0","0"
"20240215","1호선","인천2호선","1274","1008","3","11","0","207","41","4","0","0"
"20240215","1호선","일산선","3668","2714","13","41","0","806","88","6","0","0"
"20240215","1호선","장항선","104","52","0","6","0","39","6","1","0","0"
"20240215","1호선","중앙선","7694","5579","70","133","0","1634","264","14","0","0"
"20240215","1호선","진접선","763","546","16","32","0","143","23","3","0","0"
"20240215","2호선","1호선","20501","16658","257","381","0","2703","449","31","0","22"
"20240215","2호선","2호선","790369","681097","10720","19448","0","65503","12289","795","0","517"
"20240215","2호선","3호선","71340","60264","890","1611","0","7371","1102","65","0","37"
"20240215","2호선","4호선","69795","59563","915","1491","0","6533","1201","75","0","17"
"20240215","2호선","5호선","83638","70088","928","1598","0","9181","1704","86","0","53"
"20240215","2호선","6호선","47567","40616","521","1005","0","4466","902","49","0","8"
"20240215","2호선","7호선","67024","55588","721","1387","0","7695","1490","78","0","65"
"20240215","2호선","7호선(인천)","9546","8393","124","219","0","646","147","8","0","9"
"20240215","2호선","8호선","34268","29726","321","604","0","3012","548","43","0","14"
"20240215","2호선","9호선","32514","27510","369","720","0","3188","670","40","0","17"
"20240215","2호선","9호선(연장)","11038","9057","99","185","0","1411","197","86","0","3"
"20240215","2호선","경강선","2053","1533","57","110","0","299","50","4","0","0"
"20240215","2호선","경부선","36048","29146","485","1027","0","4452","898","40","0","0"
"20240215","2호선","경원선","16866","13678","253","508","0","2019","391","17","0","0"
"20240215","2호선","경의중앙선","11167","9245","224","419","0","1090","183","6","0","0"
"20240215","2호선","경인선","36316","30175","425","782","0","4083","799","52","0","0"
"20240215","2호선","경춘선","2084","1534","46","66","0","378","54","6","0","0"
"20240215","2호선","공항철도1호선","12673","11129","363","521","0","518","131","11","0","0"
"20240215","2호선","과천선","16074","13779","133","320","0","1586","235","21","0","0"
"20240215","2호선","김포골드라인","2910","2275","75","107","0","404","43","6","0","0"
"20240215","2호선","분당선","42995","36336","554","1040","0","4384","628","53","0","0"
"20240215","2호선","서해선","2806","2236","59","98","0","339","72","2","0","0"
"20240215","2호선","수인선","716","512","19","35","0","131","18","1","0","0"
"20240215","2호선","신림선","11697","8600","117","241","0","2330","387","15","0","7"
"20240215","2호선","신분당선","12215","10476","85","180","0","1237","218","19","0","0"
"20240215","2호선","신분당선(연장)","11389","9491","120","244","0","1366","149","19","0","0"
"20240215","2호선","신분당선(연장2)","2718","2268","41","67","0","302","37","3","0","0"
"20240215","2호선","안산선","9158","7603","174","331","0","869","172","9","0","0"
"20240215","2호선","에버라인선","402","255","7","8","0","113","18","1","0","0"
"20240215","2호선","우이신설선","5001","4028","62","109","0","665","132","4","0","1"
"20240215","2호선","의정부선","563","470","12","36","0","36","9","0","0","0"
"20240215","2호선","인천1호선","5350","4574","81","118","0","475","84","5","0","13"
"20240215","2호선","인천2호선","3688","3008","82","160","0","350","82","5","0","1"
"20240215","2호선","일산선","8672","7364","110","181","0","871","132","14","0","0"
"20240215","2호선","장항선","211","123","4","17","0","61","5","1","0","0"
"20240215","2호선","중앙선","11144","9170","151","343","0","1241","227","12","0","0"
"20240215","2호선","진접선","1389","1151","13","67","0","130","26","2","0","0"
"20240215","3호선","1호선","14786","10696","134","182","0","3257","481","33","0","3"
"20240215","3호선","2호선","75728","64011","948","1718","0","7787","1152","77","0","35"
"20240215","3호선","3호선","198691","151060","4306","5426","0","33336","4202","314","0","47"
"20240215","3호선","4호선","38264","31334","488","704","0","4947","734","48","0","9"
"20240215","3호선","5호선","30321","24229","380","541","0","4418","696","49","0","8"
"20240215","3호선","6호선","29566","23219","343","593","0","4656","713","40","0","2"
"20240215","3호선","7호선","33445","27531","360","628","0","4268","603","32","0","23"
"20240215","3호선","7호선(인천)","3271","2902","35","65","0","229","34","5","0","1"
"20240215","3호선","8호선","13510","10661","171","220","0","2151","291","15","0","1"
"20240215","3호선","9호선","17626","14803","232","379","0","1904","277","26","0","5"
"20240215","3호선","9호선(연장)","5520","4399","58","108","0","816","94","42","0","3"
"20240215","3호선","경강선","1005","775","8","22","0","176","23","1","0","0"
"20240215","3호선","경부선","7435","6008","89","141","0","1007","179","11","0","0"
"20240215","3호선","경원선","8133","6249","110","171","0","1381","212","10","0","0"
"20240215","3호선","경의중앙선","4840","3695","50","87","0","883","117","8","0","0"
"20240215","3호선","경인선","5314","4373","43","81","0","714","99","4","0","0"
"20240215","3호선","경춘선","908","699","14","24","0","154","17","0","0","0"
"20240215","3호선","공항철도1호선","3091","2690","47","82","0","223","46","3","0","0"
"20240215","3호선","과천선","3129","2520","29","45","0","487","47","1","0","0"
"20240215","3호선","김포골드라인","974","759","10","25","0","170","9","1","0","0"
"20240215","3호선","분당선","15180","11560","241","334","0","2744","277","24","0","0"
"20240215","3호선","서해선","823","637","13","23","0","126","24","0","0","0"
"20240215","3호선","수인선","166","127","2","7","0","27","2","1","0","0"
"20240215","3호선","신림선","1376","1135","6","18","0","189","28","0","0","0"
"20240215","3호선","신분당선","6876","5454","90","124","0","1050","147","11","0","0"
"20240215","3호선","신분당선(연장)","5410","4202","75","95","0","945","86","7","0","0"
"20240215","3호선","신분당선(연장2)","1932","1528","23","54","0","288","33","6","0","0"
"20240215","3호선","안산선","1798","1484","16","48","0","237","10","3","0","0"
"20240215","3호선","에버라인선","161","83","0","4","0","66","7","1","0","0"
"20240215","3호선","우이신설선","1838","1357","12","24","0","402","41","2","0","0"
"20240215","3호선","의정부선","221","194","3","6","0","16","2","0","0","0"
"20240215","3호선","인천1호선","1046","865","5","18","0","135","20","2","0","1"
"20240215","3호선","인천2호선","792","654","7","11","0","104","14","2","0","0"
"20240215","3호선","일산선","28372","22529","330","495","0","4371","596","51","0","0"
"20240215","3호선","장항선","23","11","0","2","0","10","0","0","0","0"
"20240215","3호선","중앙선","5853","4786","46","135","0","760","123","3","0","0"
"20240215","3호선","진접선","727","593","11","23","0","85","15","0","0","0"
"20240215","4호선","1호선","20587","15455","302","297","0","3900","583","42","0","8"
"20240215","4호선","2호선","72712","62379","984","1675","0","6381","1198","77","0","18"
"20240215","4호선","3호선","36872","30228","483","725","0","4647","724","55","0","10"
"20240215","4호선","4호선","215906","164041","4308","6093","0","34854","6169","397","0","44"
"20240215","4호선","5호선","32159","26931","479","536","0","3496","674","40","0","3"
"20240215","4호선","6호선","17904","14476","228","370","0","2379","421","25","0","5"
"20240215","4호선","7호선","14693","11326","146","274","0","2557","360","25","0","5"
"20240215","4호선","7호선(인천)","1174","986","19","34","0","110","22","2","0","1"
"20240215","4호선","8호선","3807","3209","22","57","0","447","65","6","0","1"
"20240215","4호선","9호선","9374","7644","88","147","0","1251","181","61","0","2"
"20240215","4호선","9호선(연장)","3153","2594","51","47","0","384","47","30","0","0"
"20240215","4호선","경강선","372","244","7","18","0","92","10","1","0","0"
"20240215","4호선","경부선","11498","9507","187","247","0","1309","229","19","0","0"
"20240215","4호선","경원선","19904","13533","291","504","0","4777","752","47","0","0"
"20240215","4호선","경의중앙선","1966","1500","58","55","0","305","45","3","0","0"
"20240215","4호선","경인선","5158","4211","80","131","0","612","114","10","0","0"
"20240215","4호선","경춘선","658","434","12","26","0","158","27","1","0","0"
"20240215","4호선","공항철도1호선","7117","6392","151","119","0","371","76","8","0","0"
"20240215","4호선","과천선","13619","11393","166","197","0","1612","222","29","0","0"
"20240215","4호선","김포골드라인","1104","897","10","25","0","155","14","3","0","0"
"20240215","4호선","분당선","6360","5252","82","117","0","779","121","9","0","0"
"20240215","4호선","서해선","554","461","11","9","0","64","9","0","0","0"
"20240215","4호선","수인선","332","236","7","6","0","75","8","0","0","0"
"20240215","4호선","신림선","948","736","12","11","0","163","25","1","0","0"
"20240215","4호선","신분당선","2054","1723","20","31","0","240","35","5","0","0"
"20240215","4호선","신분당선(연장)","1569","1191","22","33","0","299","21","3","0","0"
"20240215","4호선","신분당선(연장2)","691","579","5","20","0","72","14","1","0","0"
"20240215","4호선","안산선","6132","5052","75","142","0","710","143","10","0","0"
"20240215","4호선","에버라인선","48","15","2","3","0","27","1","0","0","0"
"20240215","4호선","우이신설선","5249","3151","45","71","0","1762","208","9","0","3"
"20240215","4호선","의정부선","1121","962","22","31","0","92","14","0","0","0"
"20240215","4호선","인천1호선","1239","1006","16","43","0","150","23","1","0","0"
"20240215","4호선","인천2호선","1106","931","14","17","0","127","14","1","0","2"
"20240215","4호선","일산선","4807","3876","66","90","0","675","94","6","0","0"
"20240215","4호선","장항선","56","32","1","2","0","21","0","0","0","0"
"20240215","4호선","중앙선","4106","3195","56","74","0","651","127","3","0","0"
"20240215","4호선","진접선","7777","5981","212","400","0","1010","156","18","0","0"
"20240215","5호선","1호선","8787","6643","72","124","0","1657","266","21","0","4"
"20240215","5호선","2호선","86855","73163","885","1658","0","9225","1781","88","0","55"
"20240215","5호선","3호선","29826","23948","382","537","0","4228","686","37","0","8"
"20240215","5호선","4호선","32633","27331","494","529","0","3577","657","43","0","2"
"20240215","5호선","5호선","339102","259672","6782","8276","0","54698","9062","529","0","83"
"20240215","5호선","6호선","28696","23803","291","496","0","3435","626","41","0","4"
"20240215","5호선","7호선","35379","28461","323","528","0","5013","988","55","0","11"
"20240215","5호선","7호선(인천)","1707","1423","18","27","0","201","36","2","0","0"
"20240215","5호선","8호선","23281","17860","367","409","0","3996","610","35","0","4"
"20240215","5호선","9호선","19465","15672","179","258","0","2788","513","48","0","7"
"20240215","5호선","9호선(연장)","9839","7681","96","154","0","1611","218","78","0","1"
"20240215","5호선","경강선","398","265","12","4","0","99","17","1","0","0"
"20240215","5호선","경부선","15632","13007","186","316","0","1745","362","16","0","0"
"20240215","5호선","경원선","6239","4663","83","135","0","1152","196","10","0","0"
"20240215","5호선","경의중앙선","6043","5062","60","70","0","734","105","12","0","0"
"20240215","5호선","경인선","9124","7522","74","140","0","1151","226","11","0","0"
"20240215","5호선","경춘선","1287","890","15","25","0","312","42","3","0","0"
"20240215","5호선","공항철도1호선","9378","8294","108","171","0","678","118","9","0","0"
"20240215","5호선","과천선","2038","1683","22","22","0","260","46","5","0","0"
"20240215","5호선","김포골드라인","5328","4110","79","123","0","906","102","8","0","0"
"20240215","5호선","분당선","12953","10742","129","258","0","1587","220","17","0","0"
"20240215","5호선","서해선","1735","1410","24","33","0","219","47","2","0","0"
"20240215","5호선","수인선","207","152","2","6","0","43","4","0","0","0"
"20240215","5호선","신림선","1403","1096","19","29","0","220","36","3","0","0"
"20240215","5호선","신분당선","2223","1892","10","24","0","241","52","4","0","0"
"20240215","5호선","신분당선(연장)","1123","867","19","15","0","203","16","3","0","0"
"20240215","5호선","신분당선(연장2)","481","388","5","14","0","60","14","0","0","0"
"20240215","5호선","안산선","1131","908","8","28","0","158","26","3","0","0"
"20240215","5호선","에버라인선","104","55","0","6","0","38","5","0","0","0"
"20240215","5호선","우이신설선","1511","1141","9","18","0","291","49","3","0","0"
"20240215","5호선","의정부선","238","205","2","6","0","23","2","0","0","0"
"20240215","5호선","인천1호선","2935","2506","25","41","0","292","68","2","0","1"
"20240215","5호선","인천2호선","2241","1904","17","29","0","236","51","4","0","0"
"20240215","5호선","일산선","3537","2883","35","56","0","477","75","11","0","0"
"20240215","5호선","장항선","53","25","1","3","0","18","5","1","0","0"
"20240215","5호선","중앙선","3527","2728","28","52","0","615","101","3","0","0"
"20240215","5호선","진접선","530","430","7","21","0","62","9","1","0","0"
"20240215","6호선","1호선","10673","7642","112","153","0","2383","361","17","0","5"
"20240215","6호선","2호선","49685","42523","558","1096","0","4534","924","42","0","8"
"20240215","6호선","3호선","29889","23469","364","596","0","4709","716","30","0","5"
"20240215","6호선","4호선","19385","15757","273","382","0","2456","480","31","0","6"
"20240215","6호선","5호선","29035","24375","300","420","0","3276","608","51","0","5"
"20240215","6호선","6호선","123040","95452","2071","2916","0","19056","3310","199","0","36"
"20240215","6호선","7호선","18321","14542","190","345","0","2726","468","46","0","4"
"20240215","6호선","7호선(인천)","605","519","5","21","0","50","10","0","0","0"
"20240215","6호선","8호선","2187","1872","40","44","0","185","45","1","0","0"
"20240215","6호선","9호선","5520","4554","61","90","0","659","137","18","0","1"
"20240215","6호선","9호선(연장)","1317","1075","14","20","0","162","28","18","0","0"
"20240215","6호선","경강선","188","119","9","16","0","41","2","1","0","0"
"20240215","6호선","경부선","6403","5329","82","152","0","700","137","3","0","0"
"20240215","6호선","경원선","6143","4352","91","138","0","1313","238","11","0","0"
"20240215","6호선","경의중앙선","6867","5306","63","132","0","1153","201","12","0","0"
"20240215","6호선","경인선","2932","2326","38","84","0","392","87","5","0","0"
"20240215","6호선","경춘선","1646","1215","32","45","0","312","41","1","0","0"
"20240215","6호선","공항철도1호선","7968","6963","89","157","0","591","150","18","0","0"
"20240215","6호선","과천선","3179","2807","28","54","0","257","30","3","0","0"
"20240215","6호선","김포골드라인","934","766","12","14","0","121","17","4","0","0"
"20240215","6호선","분당선","3185","2711","33","65","0","324","48","4","0","0"
"20240215","6호선","서해선","406","324","9","11","0","53","9","0","0","0"
"20240215","6호선","수인선","128","92","2","6","0","24","3","1","0","0"
"20240215","6호선","신림선","603","490","7","11","0","80","15","0","0","0"
"20240215","6호선","신분당선","1499","1312","9","24","0","128","25","1","0","0"
"20240215","6호선","신분당선(연장)","747","590","5","27","0","109","15","1","0","0"
"20240215","6호선","신분당선(연장2)","370","315","3","11","0","37","3","1","0","0"
"20240215","6호선","안산선","1199","991","27","42","0","118","20","1","0","0"
"20240215","6호선","에버라인선","31","18","0","0","0","13","0","0","0","0"
"20240215","6호선","우이신설선","4338","3137","72","124","0","846","154","5","0","0"
"20240215","6호선","의정부선","259","227","6","8","0","14","3","1","0","0"
"20240215","6호선","인천1호선","1412","1214","15","28","0","131","24","0","0","0"
"20240215","6호선","인천2호선","999","852","6","22","0","102","17","0","0","0"
"20240215","6호선","일산선","4065","3153","32","82","0","698","93","7","0","0"
"20240215","6호선","장항선","44","21","0","0","0","20","2","1","0","0"
"20240215","6호선","중앙선","2276","1715","21","50","0","412","73","5","0","0"
"20240215","6호선","진접선","214","169","3","7","0","24","11","0","0","0"
"20240215","7호선","1호선","6534","4921","42","72","0","1287","193","19","0","0"
"20240215","7호선","2호선","69314","57922","787","1573","0","7341","1545","82","0","64"
"20240215","7호선","3호선","32960","27228","357","655","0","4084","576","38","0","22"
"20240215","7호선","4호선","17322","13537","167","336","0","2842","409","26","0","5"
"20240215","7호선","5호선","35680","28671","323","537","0","5115","963","61","0","10"
"20240215","7호선","6호선","18775","14878","233","388","0","2738","490","45","0","3"
"20240215","7호선","7호선","286419","228014","3461","5431","0","41208","7614","501","0","190"
"20240215","7호선","7호선(인천)","24300","21649","243","382","0","1627","380","12","0","7"
"20240215","7호선","8호선","7228","6216","50","88","0","718","147","8","0","1"
"20240215","7호선","9호선","7457","6116","84","125","0","946","153","31","0","2"
"20240215","7호선","9호선(연장)","3737","2952","42","68","0","551","79","44","0","1"
"20240215","7호선","경강선","678","503","12","28","0","114","20","1","0","0"
"20240215","7호선","경부선","18183","15063","149","297","0","2186","457","31","0","0"
"20240215","7호선","경원선","11578","8172","112","277","0","2582","407","28","0","0"
