"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240222","1호선","1호선","46331","31666","435","556","0","11604","1883","149","0","38"
"20240222","1호선","2호선","23053","18805","255","465","0","2916","560","38","0","14"
"20240222","1호선","3호선","16531","12231","177","233","0","3337","505","43","0","5"
"20240222","1호선","4호선","25346","19672","392","402","0","4121","702","43","0","14"
"20240222","1호선","5호선","9345","7218","75","120","0","1651","258","20","0","3"
"20240222","1호선","6호선","11613","8271","118","188","0","2645","370","18","0","3"
"20240222","1호선","7호선","6789","4965","31","83","0","1484","207","17","0","2"
"20240222","1호선","7호선(인천)","1889","1628","15","24","0","184","35","3","0","0"
"20240222","1호선","8호선","968","730","5","14","0","187","26","5","0","1"
"20240222","1호선","9호선","7561","6249","32","75","0","984","195","23","0","3"
"20240222","1호선","9호선(연장)","1049","870","21","24","0","120","9","5","0","0"
"20240222","1호선","경강선","161","100","4","3","0","51","3","0","0","0"
"20240222","1호선","경부선","30390","25174","256","399","0","3779","718","64","0","0"
"20240222","1호선","경원선","25881","18181","174","361","0","6099","980","86","0","0"
"20240222","1호선","경의중앙선","1082","705","10","23","0","302","38","4","0","0"
"20240222","1호선","경인선","17704","14602","122","199","0","2327","419","35","0","0"
"20240222","1호선","경춘선","1570","1072","15","14","0","403","64","2","0","0"
"20240222","1호선","공항철도1호선","3266","2921","58","52","0","201","31","3","0","0"
"20240222","1호선","과천선","3239","2815","22","34","0","313","49","6","0","0"
"20240222","1호선","김포골드라인","670","502","3","11","0","140","14","0","0","0"
"20240222","1호선","분당선","1868","1308","17","29","0","460","52","2","0","0"
"20240222","1호선","서해선","1243","1001","8","14","0","178","40","2","0","0"
"20240222","1호선","수인선","259","172","2","3","0","69","12","1","0","0"
"20240222","1호선","신림선","2105","1742","5","18","0","292","45","2","0","1"
"20240222","1호선","신분당선","478","338","2","6","0","112","20","0","0","0"
"20240222","1호선","신분당선(연장)","632","416","1","7","0","187","20","1","0","0"
"20240222","1호선","신분당선(연장2)","141","97","0","3","0","38","3","0","0","0"
"20240222","1호선","안산선","1779","1356","19","38","0","301","60","5","0","0"
"20240222","1호선","에버라인선","24","7","0","1","0","16","0","0","0","0"
"20240222","1호선","우이신설선","4309","2917","20","60","0","1134","164","14","0","0"
"20240222","1호선","의정부선","865","762","10","13","0","67","12","1","0","0"
"20240222","1호선","인천1호선","2045","1690","7","33","0","271","42","2","0","0"
"20240222","1호선","인천2호선","1296","1037","13","19","0","194","31","2","0","0"
"20240222","1호선","일산선","3872","2825","29","43","0","852","108","15","0","0"
"20240222","1호선","장항선","85","29","1","5","0","43","7","0","0","0"
"20240222","1호선","중앙선","8140","5889","63","147","0","1773","259","9","0","0"
"20240222","1호선","진접선","809","575","15","26","0","166","23","4","0","0"
"20240222","2호선","1호선","22155","17982","220","413","0","2969","517","39","0","15"
"20240222","2호선","2호선","819287","706277","11749","20229","0","66827","12814","854","0","537"
"20240222","2호선","3호선","73431","62240","980","1678","0","7383","1031","76","0","43"
"20240222","2호선","4호선","72997","62387","971","1592","0","6638","1288","93","0","28"
"20240222","2호선","5호선","86479","72608","993","1690","0","9263","1774","101","0","50"
"20240222","2호선","6호선","49924","42534","646","1080","0","4659","943","44","0","18"
"20240222","2호선","7호선","69903","58116","795","1515","0","7789","1547","80","0","61"
"20240222","2호선","7호선(인천)","9776","8615","157","213","0","624","152","8","0","7"
"20240222","2호선","8호선","35164","30485","382","588","0","3077","574","49","0","9"
"20240222","2호선","9호선","33560","28471","406","716","0","3211","706","29","0","21"
"20240222","2호선","9호선(연장)","11647","9575","132","218","0","1433","208","78","0","3"
"20240222","2호선","경강선","2161","1624","58","110","0","311","53","5","0","0"
"20240222","2호선","경부선","38548","31340","517","1129","0","4574","936","52","0","0"
"20240222","2호선","경원선","17218","13940","280","589","0","2017","373","19","0","0"
"20240222","2호선","경의중앙선","11718","9717","245","449","0","1130","164","13","0","0"
"20240222","2호선","경인선","37026","30686","529","892","0","4076","786","57","0","0"
"20240222","2호선","경춘선","2109","1584","24","66","0","379","52","4","0","0"
"20240222","2호선","공항철도1호선","13479","11981","334","459","0","534","160","11","0","0"
"20240222","2호선","과천선","16855","14404","153","355","0","1680","241","22","0","0"
"20240222","2호선","김포골드라인","2828","2209","49","93","0","424","48","5","0","0"
"20240222","2호선","분당선","44905","37913","631","1138","0","4488","680","55","0","0"
"20240222","2호선","서해선","2886","2352","47","95","0","329","61","2","0","0"
"20240222","2호선","수인선","761","553","25","41","0","121","18","3","0","0"
"20240222","2호선","신림선","12539","9399","164","246","0","2328","381","15","0","6"
"20240222","2호선","신분당선","13091","11274","98","201","0","1276","214","28","0","0"
"20240222","2호선","신분당선(연장)","11718","9901","138","263","0","1265","134","17","0","0"
"20240222","2호선","신분당선(연장2)","2870","2413","31","68","0","305","49","4","0","0"
"20240222","2호선","안산선","9328","7699","201","355","0","881","186","6","0","0"
"20240222","2호선","에버라인선","390","241","20","22","0","95","11","1","0","0"
"20240222","2호선","우이신설선","5103","4149","58","111","0","660","119","6","0","0"
"20240222","2호선","의정부선","576","503","14","24","0","28","7","0","0","0"
"20240222","2호선","인천1호선","5706","4864","94","166","0","467","98","6","0","11"
"20240222","2호선","인천2호선","3788","3113","85","161","0","350","75","4","0","0"
"20240222","2호선","일산선","9074","7673","122","215","0","919","135","10","0","0"
"20240222","2호선","장항선","214","103","9","25","0","71","6","0","0","0"
"20240222","2호선","중앙선","11536","9552","166","336","0","1234","233","15","0","0"
"20240222","2호선","진접선","1389","1127","21","79","0","138","24","0","0","0"
"20240222","3호선","1호선","15957","11675","150","184","0","3396","502","42","0","8"
"20240222","3호선","2호선","77693","65686","980","1712","0","8049","1141","85","0","40"
"20240222","3호선","3호선","205646","156666","4710","5618","0","33900","4338","371","0","43"
"20240222","3호선","4호선","40263","33115","587","778","0","5007","706","61","0","9"
"20240222","3호선","5호선","31140","24948","399","570","0","4435","731","50","0","7"
"20240222","3호선","6호선","31021","24403","395","669","0","4740","759","47","0","8"
"20240222","3호선","7호선","34113","28169","364","662","0","4278","573","39","0","28"
"20240222","3호선","7호선(인천)","3225","2859","28","49","0","246","40","2","0","1"
"20240222","3호선","8호선","13983","11012","178","220","0","2239","314","19","0","1"
"20240222","3호선","9호선","18499","15474","267","442","0","2004","285","23","0","4"
"20240222","3호선","9호선(연장)","6058","4899","84","110","0","835","95","33","0","2"
"20240222","3호선","경강선","985","748","13","23","0","179","20","2","0","0"
"20240222","3호선","경부선","7813","6387","97","143","0","1006","172","8","0","0"
"20240222","3호선","경원선","8250","6343","112","204","0","1357","222","12","0","0"
"20240222","3호선","경의중앙선","4772","3652","65","90","0","851","105","9","0","0"
"20240222","3호선","경인선","5111","4199","45","79","0","652","131","5","0","0"
"20240222","3호선","경춘선","916","685","11","23","0","174","22","1","0","0"
"20240222","3호선","공항철도1호선","3355","2936","58","75","0","244","39","3","0","0"
"20240222","3호선","과천선","3276","2678","26","43","0","479","47","3","0","0"
"20240222","3호선","김포골드라인","961","756","9","16","0","168","11","1","0","0"
"20240222","3호선","분당선","15725","11935","255","414","0","2810","293","18","0","0"
"20240222","3호선","서해선","844","684","13","21","0","110","15","1","0","0"
"20240222","3호선","수인선","174","119","6","2","0","43","4","0","0","0"
"20240222","3호선","신림선","1453","1171","10","40","0","213","19","0","0","0"
"20240222","3호선","신분당선","7220","5770","90","143","0","1041","163","13","0","0"
"20240222","3호선","신분당선(연장)","5516","4326","50","104","0","955","70","11","0","0"
"20240222","3호선","신분당선(연장2)","1922","1541","26","47","0","263","40","5","0","0"
"20240222","3호선","안산선","1798","1472","19","40","0","248","19","0","0","0"
"20240222","3호선","에버라인선","151","85","1","5","0","56","3","1","0","0"
"20240222","3호선","우이신설선","1925","1430","16","28","0","408","40","3","0","0"
"20240222","3호선","의정부선","238","213","6","6","0","12","1","0","0","0"
"20240222","3호선","인천1호선","1082","902","5","23","0","126","25","1","0","0"
"20240222","3호선","인천2호선","853","694","20","19","0","110","9","1","0","0"
"20240222","3호선","일산선","29446","23390","382","536","0","4451","635","52","0","0"
"20240222","3호선","장항선","34","7","3","3","0","19","1","1","0","0"
"20240222","3호선","중앙선","5851","4743","48","144","0","784","128","4","0","0"
"20240222","3호선","진접선","743","607","17","22","0","85","12","0","0","0"
"20240222","4호선","1호선","21576","16211","264","303","0","4075","669","44","0","10"
"20240222","4호선","2호선","75748","65058","1062","1751","0","6481","1286","78","0","32"
"20240222","4호선","3호선","38912","32053","534","795","0","4742","713","64","0","11"
"20240222","4호선","4호선","225572","172259","4690","6465","0","35247","6476","380","0","55"
"20240222","4호선","5호선","32631","27472","440","537","0","3461","660","54","0","7"
"20240222","4호선","6호선","18721","15242","252","350","0","2392","447","31","0","7"
"20240222","4호선","7호선","15324","11749","151","264","0","2727","406","24","0","3"
"20240222","4호선","7호선(인천)","1193","995","21","37","0","112","27","0","0","1"
"20240222","4호선","8호선","3935","3329","38","68","0","426","69","4","0","1"
"20240222","4호선","9호선","9969","8240","130","166","0","1222","193","16","0","2"
"20240222","4호선","9호선(연장)","3040","2516","41","52","0","358","42","30","0","1"
"20240222","4호선","경강선","374","254","10","18","0","77","15","0","0","0"
"20240222","4호선","경부선","12047","9965","200","272","0","1371","221","18","0","0"
"20240222","4호선","경원선","20901","14244","287","549","0","4998","769","54","0","0"
"20240222","4호선","경의중앙선","2199","1711","64","68","0","304","48","4","0","0"
"20240222","4호선","경인선","5090","4195","92","125","0","560","107","11","0","0"
"20240222","4호선","경춘선","667","449","12","17","0","161","28","0","0","0"
"20240222","4호선","공항철도1호선","7721","6961","160","139","0","371","83","7","0","0"
"20240222","4호선","과천선","14329","11971","146","236","0","1733","218","25","0","0"
"20240222","4호선","김포골드라인","1092","837","15","30","0","188","21","1","0","0"
"20240222","4호선","분당선","6717","5573","81","158","0","764","131","10","0","0"
"20240222","4호선","서해선","570","471","4","14","0","62","19","0","0","0"
"20240222","4호선","수인선","358","252","6","13","0","80","6","1","0","0"
"20240222","4호선","신림선","963","761","9","15","0","153","24","1","0","0"
"20240222","4호선","신분당선","2287","1932","16","36","0","266","31","6","0","0"
"20240222","4호선","신분당선(연장)","1652","1263","17","33","0","312","24","3","0","0"
"20240222","4호선","신분당선(연장2)","684","590","4","13","0","66","11","0","0","0"
"20240222","4호선","안산선","6395","5260","103","173","0","704","142","13","0","0"
"20240222","4호선","에버라인선","52","31","1","0","0","19","1","0","0","0"
"20240222","4호선","우이신설선","5389","3311","65","95","0","1667","239","10","0","2"
"20240222","4호선","의정부선","1210","1032","23","35","0","102","18","0","0","0"
"20240222","4호선","인천1호선","1367","1129","20","43","0","143","28","4","0","0"
"20240222","4호선","인천2호선","1154","965","10","31","0","123","23","0","0","2"
"20240222","4호선","일산선","4976","3967","78","119","0","715","95","2","0","0"
"20240222","4호선","장항선","46","25","1","1","0","17","2","0","0","0"
"20240222","4호선","중앙선","4333","3377","79","114","0","634","119","10","0","0"
"20240222","4호선","진접선","8101","6240","241","411","0","1033","160","16","0","0"
