"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240202","1호선","1호선","48356","30858","387","503","0","14094","2307","172","0","35"
"20240202","1호선","2호선","23130","18352","262","426","0","3467","559","45","0","19"
"20240202","1호선","3호선","16930","11891","155","255","0","3987","586","53","0","3"
"20240202","1호선","4호선","25163","18945","394","421","0","4638","730","30","0","5"
"20240202","1호선","5호선","9394","6868","80","138","0","1969","319","18","0","2"
"20240202","1호선","6호선","12006","7888","120","148","0","3342","481","24","0","3"
"20240202","1호선","7호선","7113","4833","47","76","0","1882","254","17","0","4"
"20240202","1호선","7호선(인천)","1941","1637","19","24","0","213","45","2","0","1"
"20240202","1호선","8호선","891","654","3","4","0","195","29","4","0","2"
"20240202","1호선","9호선","7641","6032","50","85","0","1213","244","15","0","2"
"20240202","1호선","9호선(연장)","884","723","5","20","0","106","26","4","0","0"
"20240202","1호선","경강선","162","100","0","3","0","49","9","1","0","0"
"20240202","1호선","경부선","32335","25869","262","404","0","4849","865","86","0","0"
"20240202","1호선","경원선","27945","18649","202","321","0","7538","1147","88","0","0"
"20240202","1호선","경의중앙선","1177","704","8","12","0","402","50","1","0","0"
"20240202","1호선","경인선","18312","14453","140","223","0","2977","480","39","0","0"
"20240202","1호선","경춘선","1654","1061","5","24","0","487","75","2","0","0"
"20240202","1호선","공항철도1호선","3230","2848","45","58","0","219","55","5","0","0"
"20240202","1호선","과천선","3366","2811","23","34","0","430","63","5","0","0"
"20240202","1호선","김포골드라인","707","523","5","8","0","150","19","2","0","0"
"20240202","1호선","분당선","1830","1304","9","30","0","435","46","6","0","0"
"20240202","1호선","서해선","1231","937","13","20","0","217","41","3","0","0"
"20240202","1호선","수인선","262","166","2","8","0","73","12","1","0","0"
"20240202","1호선","신림선","2165","1670","10","26","0","390","64","4","0","1"
"20240202","1호선","신분당선","484","342","0","4","0","118","18","2","0","0"
"20240202","1호선","신분당선(연장)","625","402","0","5","0","198","19","1","0","0"
"20240202","1호선","신분당선(연장2)","155","102","0","2","0","47","3","1","0","0"
"20240202","1호선","안산선","1933","1419","15","35","0","391","67","6","0","0"
"20240202","1호선","에버라인선","42","13","0","0","0","28","1","0","0","0"
"20240202","1호선","우이신설선","4422","2671","32","43","0","1494","174","7","0","1"
"20240202","1호선","의정부선","878","759","12","16","0","69","20","2","0","0"
"20240202","1호선","인천1호선","2219","1806","14","37","0","318","41","3","0","0"
"20240202","1호선","인천2호선","1284","966","10","21","0","257","26","1","0","3"
"20240202","1호선","일산선","4033","2875","22","44","0","968","117","7","0","0"
"20240202","1호선","장항선","96","49","1","1","0","36","9","0","0","0"
"20240202","1호선","중앙선","8420","5734","66","141","0","2185","283","11","0","0"
"20240202","1호선","진접선","849","602","17","23","0","178","25","4","0","0"
"20240202","2호선","1호선","21973","17103","247","312","0","3643","608","40","0","20"
"20240202","2호선","2호선","817699","701574","10958","19440","0","70908","13362","829","0","626"
"20240202","2호선","3호선","73527","62177","1032","1663","0","7394","1143","80","0","38"
"20240202","2호선","4호선","71026","60497","817","1464","0","6806","1324","93","0","25"
"20240202","2호선","5호선","83626","69635","941","1583","0","9563","1753","84","0","67"
"20240202","2호선","6호선","48260","40849","535","1008","0","4822","989","46","0","11"
"20240202","2호선","7호선","67195","55725","696","1295","0","7801","1531","80","0","67"
"20240202","2호선","7호선(인천)","9473","8381","108","215","0","613","146","6","0","4"
"20240202","2호선","8호선","34473","29783","329","592","0","3129","585","40","0","15"
"20240202","2호선","9호선","32407","27428","324","654","0","3232","709","36","0","24"
"20240202","2호선","9호선(연장)","10808","8887","105","173","0","1365","208","66","0","4"
"20240202","2호선","경강선","2221","1756","40","74","0","292","58","1","0","0"
"20240202","2호선","경부선","38144","31121","455","902","0","4695","938","33","0","0"
"20240202","2호선","경원선","17025","13862","231","458","0","2048","408","18","0","0"
"20240202","2호선","경의중앙선","10979","9107","202","328","0","1126","206","10","0","0"
"20240202","2호선","경인선","36266","30101","375","725","0","4158","853","54","0","0"
"20240202","2호선","경춘선","2149","1607","43","70","0","376","49","4","0","0"
"20240202","2호선","공항철도1호선","12946","11495","327","459","0","516","140","9","0","0"
"20240202","2호선","과천선","17455","14577","150","292","0","2084","326","26","0","0"
"20240202","2호선","김포골드라인","2863","2211","63","96","0","437","51","5","0","0"
"20240202","2호선","분당선","44887","38152","588","1054","0","4369","670","54","0","0"
"20240202","2호선","서해선","2723","2189","46","67","0","338","80","3","0","0"
"20240202","2호선","수인선","735","552","16","23","0","122","21","1","0","0"
"20240202","2호선","신림선","11556","8340","145","259","0","2397","392","13","0","10"
"20240202","2호선","신분당선","12435","10709","83","176","0","1216","232","19","0","0"
