"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240228","1호선","1호선","47238","30074","516","588","0","13719","2133","168","0","40"
"20240228","1호선","2호선","22378","17722","301","445","0","3316","542","31","0","21"
"20240228","1호선","3호선","16827","12070","184","198","0","3775","551","46","0","3"
"20240228","1호선","4호선","24807","18554","417","405","0","4615","754","53","0","9"
"20240228","1호선","5호선","9217","6700","94","130","0","1981","282","28","0","2"
"20240228","1호선","6호선","11620","7781","122","189","0","3017","479","27","0","5"
"20240228","1호선","7호선","7091","4898","56","75","0","1797","235","22","0","8"
"20240228","1호선","7호선(인천)","1981","1654","7","30","0","252","37","1","0","0"
"20240228","1호선","8호선","849","617","11","4","0","188","24","3","0","2"
"20240228","1호선","9호선","7525","5923","67","101","0","1173","240","17","0","4"
"20240228","1호선","9호선(연장)","963","802","15","13","0","108","19","6","0","0"
"20240228","1호선","경강선","187","105","4","0","0","63","14","1","0","0"
"20240228","1호선","경부선","32017","25627","316","414","0","4712","859","89","0","0"
"20240228","1호선","경원선","27682","18616","237","329","0","7285","1132","83","0","0"
"20240228","1호선","경의중앙선","1200","714","13","19","0","398","54","2","0","0"
"20240228","1호선","경인선","18934","14859","159","202","0","3136","538","40","0","0"
"20240228","1호선","경춘선","1716","1097","15","32","0","498","70","4","0","0"
"20240228","1호선","공항철도1호선","3264","2878","43","65","0","228","46","4","0","0"
"20240228","1호선","과천선","3340","2835","33","41","0","373","51","7","0","0"
"20240228","1호선","김포골드라인","673","475","4","8","0","160","23","3","0","0"
"20240228","1호선","분당선","1816","1206","17","33","0","503","52","5","0","0"
"20240228","1호선","서해선","1321","988","15","18","0","253","44","3","0","0"
"20240228","1호선","수인선","315","172","4","4","0","121","13","1","0","0"
"20240228","1호선","신림선","2309","1867","10","21","0","347","60","3","0","1"
"20240228","1호선","신분당선","473","319","5","6","0","124","17","2","0","0"
"20240228","1호선","신분당선(연장)","641","362","0","2","0","262","10","5","0","0"
"20240228","1호선","신분당선(연장2)","134","88","1","4","0","40","1","0","0","0"
"20240228","1호선","안산선","1882","1401","11","31","0","368","65","6","0","0"
"20240228","1호선","에버라인선","35","12","1","0","0","20","2","0","0","0"
"20240228","1호선","우이신설선","4394","2773","24","57","0","1345","181","13","0","1"
"20240228","1호선","의정부선","854","745","10","21","0","64","14","0","0","0"
"20240228","1호선","인천1호선","2191","1702","18","27","0","384","53","6","0","1"
"20240228","1호선","인천2호선","1318","999","16","13","0","247","41","1","0","1"
"20240228","1호선","일산선","3983","2769","33","47","0","1016","106","12","0","0"
"20240228","1호선","장항선","132","55","2","5","0","64","6","0","0","0"
"20240228","1호선","중앙선","8624","5954","70","154","0","2136","299","11","0","0"
"20240228","1호선","진접선","803","558","22","28","0","175","18","2","0","0"
"20240228","2호선","1호선","21445","16718","276","415","0","3412","573","30","0","21"
"20240228","2호선","2호선","823880","700964","12414","20808","0","74593","13624","870","0","607"
"20240228","2호선","3호선","72799","61047","1103","1678","0","7694","1157","79","0","41"
