시즌,에피소드,에피소드 이름,날짜,평점
5,5,The Russian Rocket Reaction,"Thu, Oct 13, 2011",8.0
5,6,The Rhinitis Revelation,"Thu, Oct 20, 2011",7.5
5,7,The Good Guy Fluctuation,"Thu, Oct 27, 2011",8.5
5,8,The Isolation Permutation,"Thu, Nov 3, 2011",7.6
5,9,The Ornithophobia Diffusion,"Thu, Nov 10, 2011",8.1
5,10,The Flaming Spittoon Acquisition,"Thu, Nov 17, 2011",7.9
5,11,The Speckerman Recurrence,"Thu, Dec 8, 2011",7.3
5,12,The Shiny Trinket Maneuver,"Thu, Jan 12, 2012",7.6
5,13,The Recombination Hypothesis,"Thu, Jan 19, 2012",8.1
5,14,The Beta Test Initiation,"Thu, Jan 26, 2012",8.2
5,15,The Friendship Contraction,"Thu, Feb 2, 2012",7.7
5,16,The Vacation Solution,"Thu, Feb 9, 2012",7.6
5,17,The Rothman Disintegration,"Thu, Feb 16, 2012",7.8
5,18,The Werewolf Transformation,"Thu, Feb 23, 2012",8.2
5,19,The Weekend Vortex,"Thu, Mar 8, 2012",8.1
5,20,The Transporter Malfunction,"Thu, Mar 29, 2012",8.1
5,21,The Hawking Excitation,"Thu, Apr 5, 2012",8.5
5,22,The Stag Convergence,"Thu, Apr 26, 2012",7.7
5,23,The Launch Acceleration,"Thu, May 3, 2012",8.1
5,24,The Countdown Reflection,"Thu, May 10, 2012",8.5
6,1,The Date Night Variable,"Thu, Sep 27, 2012",7.6
6,2,The Decoupling Fluctuation,"Thu, Oct 4, 2012",7.6
6,3,The Higgs Boson Observation,"Thu, Oct 11, 2012",7.9
6,4,The Re-Entry Minimization,"Thu, Oct 18, 2012",8.2
6,5,The Holographic Excitation,"Thu, Oct 25, 2012",8.0
6,6,The Extract Obliteration,"Thu, Nov 1, 2012",7.8
6,7,The Habitation Configuration,"Thu, Nov 8, 2012",7.6
6,8,The 43 Peculiarity,"Thu, Nov 15, 2012",8.4
6,9,The Parking Spot Escalation,"Thu, Nov 29, 2012",8.2
6,10,The Fish Guts Displacement,"Thu, Dec 6, 2012",8.0
6,11,The Santa Simulation,"Thu, Dec 13, 2012",7.8
6,12,The Egg Salad Equivalency,"Thu, Jan 3, 2013",8.4
6,13,The Bakersfield Expedition,"Thu, Jan 10, 2013",8.4
6,14,The Cooper/Kripke Inversion,"Thu, Jan 31, 2013",7.8
6,15,The Spoiler Alert Segmentation,"Thu, Feb 7, 2013",8.2
6,16,The Tangible Affection Proof,"Thu, Feb 14, 2013",7.8
6,17,The Monster Isolation,"Thu, Feb 21, 2013",7.6
6,18,The Contractual Obligation Implementation,"Thu, Mar 7, 2013",7.7
6,19,The Closet Reconfiguration,"Thu, Mar 14, 2013",8.1
6,20,The Tenure Turbulence,"Thu, Apr 4, 2013",8.0
6,21,The Closure Alternative,"Thu, Apr 25, 2013",8.0
6,22,The Proton Resurgence,"Thu, May 2, 2013",7.9
6,23,The Love Spell Potential,"Thu, May 9, 2013",8.1
6,24,The Bon Voyage Reaction,"Thu, May 16, 2013",7.7
7,1,The Hofstadter Insufficiency,"Thu, Sep 26, 2013",7.8
7,2,The Deception Verification,"Thu, Sep 26, 2013",7.9
7,3,The Scavenger Vortex,"Thu, Oct 3, 2013",8.7
7,4,The Raiders Minimization,"Thu, Oct 10, 2013",7.9
7,5,The Workplace Proximity,"Thu, Oct 17, 2013",7.6
7,6,The Romance Resonance,"Thu, Oct 24, 2013",8.4
7,7,The Proton Displacement,"Thu, Nov 7, 2013",7.7
7,8,The Itchy Brain Simulation,"Thu, Nov 14, 2013",7.5
7,9,The Thanksgiving Decoupling,"Thu, Nov 21, 2013",8.8
7,10,The Discovery Dissipation,"Thu, Dec 5, 2013",7.6
7,11,The Cooper Extraction,"Thu, Dec 12, 2013",8.1
7,12,The Hesitation Ramification,"Thu, Jan 2, 2014",7.4
7,13,The Occupation Recalibration,"Thu, Jan 9, 2014",7.5
7,14,The Convention Conundrum,"Thu, Jan 30, 2014",7.9
7,15,The Locomotive Manipulation,"Thu, Feb 6, 2014",8.2
7,16,The Table Polarization,"Thu, Feb 27, 2014",7.6
7,17,The Friendship Turbulence,"Thu, Mar 6, 2014",7.4
7,18,The Mommy Observation,"Thu, Mar 13, 2014",7.4
7,19,The Indecision Amalgamation,"Thu, Apr 3, 2014",8.1
7,20,The Relationship Diremption,"Thu, Apr 10, 2014",8.0
7,21,The Anything Can Happen Recurrence,"Thu, Apr 24, 2014",7.5
7,22,The Proton Transmogrification,"Thu, May 1, 2014",7.7
7,23,The Gorilla Dissolution,"Thu, May 8, 2014",7.8
7,24,The Status Quo Combustion,"Thu, May 15, 2014",8.0
8,1,The Locomotion Interruption,"Mon, Sep 22, 2014",7.2
8,2,The Junior Professor Solution,"Mon, Sep 22, 2014",7.5
8,3,The First Pitch Insufficiency,"Mon, Sep 29, 2014",7.0
8,4,The Hook-up Reverberation,"Mon, Oct 6, 2014",7.2
8,5,The Focus Attenuation,"Mon, Oct 13, 2014",7.5
8,6,The Expedition Approximation,"Mon, Oct 20, 2014",7.2
8,7,The Misinterpretation Agitation,"Thu, Oct 30, 2014",7.7
8,8,The Prom Equivalency,"Thu, Nov 6, 2014",8.0
8,9,The Septum Deviation,"Thu, Nov 13, 2014",7.5
